frecuencia,angulo,longitud,velocidad,espesor,presion,const
800,0,0.3,71.3,0,126.2,1
1000,0,0.3,71.3,0,125.2,1
1250,0,0.3,71.3,0,125.95,1
1600,0,0.3,71.3,0,127.59,1
2000,0,0.3,71.3,0,127.46,1
2500,0,0.3,71.3,0,125.57,1
3150,0,0.3,71.3,0,125.2,1
4000,0,0.3,71.3,0,123.06,1
5000,0,0.3,71.3,0,121.3,1
6300,0,0.3,71.3,0,119.54,1
8000,0,0.3,71.3,0,117.15,1
10000,0,0.3,71.3,0,115.39,1
12500,0,0.3,71.3,0,112.24,1
16000,0,0.3,71.3,0,108.72,1
500,0,0.3,55.5,0,126.42,1
630,0,0.3,55.5,0,127.7,1
800,0,0.3,55.5,0,128.09,1
1000,0,0.3,55.5,0,126.97,1
1250,0,0.3,55.5,0,126.09,1
1600,0,0.3,55.5,0,126.99,1
2000,0,0.3,55.5,0,126.62,1
2500,0,0.3,55.5,0,124.11,1
3150,0,0.3,55.5,0,123.24,1
4000,0,0.3,55.5,0,121.11,1
5000,0,0.3,55.5,0,119.61,1
6300,0,0.3,55.5,0,117.98,1
8000,0,0.3,55.5,0,116.48,1
10000,0,0.3,55.5,0,113.08,1
12500,0,0.3,55.5,0,111.08,1
200,0,0.3,39.6,0,118.13,1
250,0,0.3,39.6,0,119.32,1
315,0,0.3,39.6,0,122.78,1
400,0,0.3,39.6,0,124.81,1
500,0,0.3,39.6,0,126.96,1
630,0,0.3,39.6,0,128.63,1
800,0,0.3,39.6,0,129.1,1
1000,0,0.3,39.6,0,127.9,1
1250,0,0.3,39.6,0,125.5,1
1600,0,0.3,39.6,0,124.05,1
2000,0,0.3,39.6,0,123.69,1
2500,0,0.3,39.6,0,121.4,1
3150,0,0.3,39.6,0,120.32,1
4000,0,0.3,39.6,0,119.23,1
5000,0,0.3,39.6,0,117.79,1
6300,0,0.3,39.6,0,116.23,1
8000,0,0.3,39.6,0,114.78,1
10000,0,0.3,39.6,0,112.14,1
12500,0,0.3,39.6,0,109.62,1
200,0,0.3,31.7,0,117.2,1
250,0,0.3,31.7,0,118.6,1
315,0,0.3,31.7,0,122.77,1
400,0,0.3,31.7,0,125.05,1
500,0,0.3,31.7,0,127.32,1
630,0,0.3,31.7,0,129.1,1
800,0,0.3,31.7,0,129.24,1
1000,0,0.3,31.7,0,127.37,1
1250,0,0.3,31.7,0,124.36,1
1600,0,0.3,31.7,0,122.37,1
2000,0,0.3,31.7,0,122.38,1
2500,0,0.3,31.7,0,120.76,1
3150,0,0.3,31.7,0,119.14,1
4000,0,0.3,31.7,0,118.15,1
5000,0,0.3,31.7,0,115.65,1
6300,0,0.3,31.7,0,113.78,1
8000,0,0.3,31.7,0,110.52,1
10000,0,0.3,31.7,0,108.27,1
800,1.5,0.3,71.3,0,127.12,1
1000,1.5,0.3,71.3,0,125.99,1
1250,1.5,0.3,71.3,0,125.87,1
1600,1.5,0.3,71.3,0,126.63,1
2000,1.5,0.3,71.3,0,126.64,1
2500,1.5,0.3,71.3,0,124.51,1
3150,1.5,0.3,71.3,0,123.39,1
4000,1.5,0.3,71.3,0,121.76,1
5000,1.5,0.3,71.3,0,119.63,1
6300,1.5,0.3,71.3,0,118.12,1
8000,1.5,0.3,71.3,0,115.37,1
10000,1.5,0.3,71.3,0,113.49,1
12500,1.5,0.3,71.3,0,109.22,1
16000,1.5,0.3,71.3,0,106.58,1
315,1.5,0.3,39.6,0,121.85,1
400,1.5,0.3,39.6,0,124,1
500,1.5,0.3,39.6,0,126.66,1
630,1.5,0.3,39.6,0,128.31,1
800,1.5,0.3,39.6,0,128.83,1
1000,1.5,0.3,39.6,0,127.58,1
1250,1.5,0.3,39.6,0,125.21,1
1600,1.5,0.3,39.6,0,122.21,1
2000,1.5,0.3,39.6,0,122.1,1
2500,1.5,0.3,39.6,0,120.98,1
3150,1.5,0.3,39.6,0,119.11,1
4000,1.5,0.3,39.6,0,117.74,1
5000,1.5,0.3,39.6,0,116.24,1
6300,1.5,0.3,39.6,0,114.75,1
8000,1.5,0.3,39.6,0,112.25,1
10000,1.5,0.3,39.6,0,108.99,1
12500,1.5,0.3,39.6,0,106.11,1
400,3,0.3,71.3,0,127.56,1
500,3,0.3,71.3,0,128.45,1
630,3,0.3,71.3,0,129.35,1
800,3,0.3,71.3,0,129.49,1
1000,3,0.3,71.3,0,129,1
1250,3,0.3,71.3,0,127.63,1
1600,3,0.3,71.3,0,126.51,1
2000,3,0.3,71.3,0,125.52,1
2500,3,0.3,71.3,0,124.02,1
3150,3,0.3,71.3,0,121.51,1
4000,3,0.3,71.3,0,120.26,1
5000,3,0.3,71.3,0,118.13,1
6300,3,0.3,71.3,0,116.13,1
8000,3,0.3,71.3,0,114.63,1
10000,3,0.3,71.3,0,110.22,1
400,3,0.3,55.5,0,126.16,1
500,3,0.3,55.5,0,128.18,1
630,3,0.3,55.5,0,129.57,1
800,3,0.3,55.5,0,129.95,1
1000,3,0.3,55.5,0,129.33,1
1250,3,0.3,55.5,0,127.33,1
1600,3,0.3,55.5,0,124.44,1
2000,3,0.3,55.5,0,123.07,1
2500,3,0.3,55.5,0,122.44,1
3150,3,0.3,55.5,0,120.19,1
4000,3,0.3,55.5,0,118.69,1
5000,3,0.3,55.5,0,117.31,1
6300,3,0.3,55.5,0,115.68,1
8000,3,0.3,55.5,0,113.8,1
10000,3,0.3,55.5,0,112.17,1
315,3,0.3,39.6,0,123.31,1
400,3,0.3,39.6,0,125.47,1
500,3,0.3,39.6,0,127.63,1
630,3,0.3,39.6,0,129.29,1
800,3,0.3,39.6,0,129.55,1
1000,3,0.3,39.6,0,128.31,1
1250,3,0.3,39.6,0,125.8,1
1600,3,0.3,39.6,0,122.78,1
2000,3,0.3,39.6,0,120.53,1
2500,3,0.3,39.6,0,120.16,1
3150,3,0.3,39.6,0,118.92,1
4000,3,0.3,39.6,0,116.79,1
5000,3,0.3,39.6,0,115.79,1
6300,3,0.3,39.6,0,114.04,1
8000,3,0.3,39.6,0,110.65,1
315,3,0.3,31.7,0.01,123.12,1
400,3,0.3,31.7,0.01,125.4,1
500,3,0.3,31.7,0.01,127.55,1
630,3,0.3,31.7,0.01,128.7,1
800,3,0.3,31.7,0.01,128.71,1
1000,3,0.3,31.7,0.01,126.84,1
1250,3,0.3,31.7,0.01,124.84,1
1600,3,0.3,31.7,0.01,122.09,1
2000,3,0.3,31.7,0.01,120.09,1
2500,3,0.3,31.7,0.01,119.6,1
3150,3,0.3,31.7,0.01,118.11,1
4000,3,0.3,31.7,0.01,115.61,1
5000,3,0.3,31.7,0.01,113.86,1
6300,3,0.3,31.7,0.01,109.72,1
250,4,0.3,71.3,0,126.4,1
315,4,0.3,71.3,0,128.18,1
400,4,0.3,71.3,0,129.58,1
500,4,0.3,71.3,0,130.72,1
630,4,0.3,71.3,0,131.62,1
800,4,0.3,71.3,0,131.76,1
1000,4,0.3,71.3,0,131.02,1
1250,4,0.3,71.3,0,129.4,1
1600,4,0.3,71.3,0,126.65,1
2000,4,0.3,71.3,0,124.4,1
2500,4,0.3,71.3,0,123.78,1
3150,4,0.3,71.3,0,121.78,1
4000,4,0.3,71.3,0,119.54,1
5000,4,0.3,71.3,0,117.79,1
6300,4,0.3,71.3,0,116.17,1
8000,4,0.3,71.3,0,113.67,1
10000,4,0.3,71.3,0,110.91,1
12500,4,0.3,71.3,0,107.41,1
250,4,0.3,39.6,0.01,123.54,1
315,4,0.3,39.6,0.01,126.84,1
400,4,0.3,39.6,0.01,128.63,1
500,4,0.3,39.6,0.01,130.17,1
630,4,0.3,39.6,0.01,131.07,1
800,4,0.3,39.6,0.01,130.72,1
1000,4,0.3,39.6,0.01,128.72,1
1250,4,0.3,39.6,0.01,126.34,1
1600,4,0.3,39.6,0.01,123.21,1
2000,4,0.3,39.6,0.01,120.96,1
2500,4,0.3,39.6,0.01,120.23,1
3150,4,0.3,39.6,0.01,118.74,1
4000,4,0.3,39.6,0.01,115.86,1
5000,4,0.3,39.6,0.01,113.73,1
1250,0,0.23,71.3,0,128.14,1
1600,0,0.23,71.3,0,129.13,1
2000,0,0.23,71.3,0,128.24,1
2500,0,0.23,71.3,0,128.35,1
3150,0,0.23,71.3,0,127.83,1
4000,0,0.23,71.3,0,125.82,1
5000,0,0.23,71.3,0,124.3,1
6300,0,0.23,71.3,0,122.04,1
8000,0,0.23,71.3,0,118.02,1
10000,0,0.23,71.3,0,118.13,1
12500,0,0.23,71.3,0,117.62,1
16000,0,0.23,71.3,0,114.98,1
20000,0,0.23,71.3,0,114.47,1
315,0,0.23,55.5,0,119.54,1
400,0,0.23,55.5,0,121.66,1
500,0,0.23,55.5,0,123.78,1
630,0,0.23,55.5,0,126.16,1
800,0,0.23,55.5,0,127.53,1
1000,0,0.23,55.5,0,128.29,1
1250,0,0.23,55.5,0,127.91,1
1600,0,0.23,55.5,0,126.79,1
2000,0,0.23,55.5,0,126.54,1
2500,0,0.23,55.5,0,126.54,1
3150,0,0.23,55.5,0,125.16,1
4000,0,0.23,55.5,0,123.41,1
5000,0,0.23,55.5,0,122.41,1
6300,0,0.23,55.5,0,118.41,1
315,0,0.23,39.6,0,121.06,1
400,0,0.23,39.6,0,123.57,1
500,0,0.23,39.6,0,126.2,1
630,0,0.23,39.6,0,128.71,1
800,0,0.23,39.6,0,130.21,1
1000,0,0.23,39.6,0,130.44,1
1250,0,0.23,39.6,0,129.4,1
1600,0,0.23,39.6,0,127.1,1
2000,0,0.23,39.6,0,125.31,1
2500,0,0.23,39.6,0,125.03,1
3150,0,0.23,39.6,0,124.63,1
4000,0,0.23,39.6,0,123.47,1
5000,0,0.23,39.6,0,122.18,1
6300,0,0.23,39.6,0,117.47,1
315,0,0.23,31.7,0,120.6,1
400,0,0.23,31.7,0,123.64,1
500,0,0.23,31.7,0,126.68,1
630,0,0.23,31.7,0,129.47,1
800,0,0.23,31.7,0,130.73,1
1000,0,0.23,31.7,0,130.6,1
1250,0,0.23,31.7,0,128.81,1
1600,0,0.23,31.7,0,125.63,1
2000,0,0.23,31.7,0,123.46,1
2500,0,0.23,31.7,0,123.45,1
3150,0,0.23,31.7,0,123.45,1
4000,0,0.23,31.7,0,122.04,1
5000,0,0.23,31.7,0,120.51,1
6300,0,0.23,31.7,0,116.82,1
400,2,0.23,71.3,0,125.12,1
500,2,0.23,71.3,0,126.49,1
630,2,0.23,71.3,0,127.36,1
800,2,0.23,71.3,0,128.22,1
1000,2,0.23,71.3,0,128.96,1
1250,2,0.23,71.3,0,128.82,1
1600,2,0.23,71.3,0,127.8,1
2000,2,0.23,71.3,0,126.9,1
2500,2,0.23,71.3,0,127.01,1
3150,2,0.23,71.3,0,126.12,1
4000,2,0.23,71.3,0,124.09,1
5000,2,0.23,71.3,0,122.82,1
6300,2,0.23,71.3,0,120.79,1
8000,2,0.23,71.3,0,116,1
10000,2,0.23,71.3,0,113.09,1
400,2,0.23,55.5,0,122.29,1
500,2,0.23,55.5,0,124.69,1
630,2,0.23,55.5,0,126.84,1
800,2,0.23,55.5,0,128.49,1
1000,2,0.23,55.5,0,129,1
1250,2,0.23,55.5,0,128.76,1
1600,2,0.23,55.5,0,126.75,1
2000,2,0.23,55.5,0,124.61,1
